Date,Open,High,Low,Close,Adj_Close,Volume_million
1992-07-01,0.35,0.36,0.34,0.36,0.28,18.32
1992-07-02,0.36,0.36,0.35,0.36,0.28,14.00
1992-07-06,0.35,0.36,0.35,0.36,0.28,5.75
1992-07-07,0.36,0.36,0.35,0.36,0.28,10.66
1992-07-08,0.36,0.36,0.34,0.35,0.27,15.50
1992-07-09,0.35,0.36,0.35,0.36,0.28,3.92
1992-07-10,0.36,0.37,0.35,0.36,0.29,11.04
1992-07-13,0.36,0.37,0.36,0.37,0.29,6.00
1992-07-14,0.37,0.38,0.37,0.37,0.29,17.06
1992-07-15,0.38,0.38,0.37,0.38,0.30,4.99
1992-07-16,0.38,0.41,0.38,0.41,0.32,17.06
1992-07-17,0.41,0.44,0.40,0.43,0.34,15.67
1992-07-20,0.43,0.44,0.42,0.43,0.34,19.74
1992-07-21,0.44,0.45,0.43,0.44,0.34,7.78
1992-07-22,0.43,0.44,0.42,0.43,0.34,10.89
1992-07-23,0.43,0.44,0.43,0.44,0.35,10.39
1992-07-24,0.43,0.45,0.43,0.45,0.35,7.05
1992-07-27,0.45,0.46,0.45,0.46,0.36,11.43
1992-07-28,0.46,0.46,0.43,0.44,0.34,18.01
1992-07-29,0.44,0.44,0.41,0.42,0.33,30.85
1992-07-30,0.41,0.42,0.40,0.41,0.33,11.74
1992-07-31,0.41,0.42,0.41,0.42,0.33,6.89
1992-08-03,0.41,0.43,0.41,0.42,0.33,4.83
1992-08-04,0.42,0.43,0.41,0.43,0.34,6.82
1992-08-05,0.43,0.43,0.40,0.41,0.32,9.52
1992-08-06,0.41,0.41,0.40,0.41,0.32,3.67
1992-08-07,0.41,0.43,0.40,0.43,0.33,8.83
1992-08-10,0.42,0.43,0.41,0.43,0.33,5.89
1992-08-11,0.43,0.43,0.42,0.43,0.34,4.15
1992-08-12,0.42,0.43,0.40,0.41,0.32,12.74
1992-08-13,0.41,0.42,0.40,0.41,0.32,48.32
1992-08-14,0.41,0.41,0.38,0.39,0.30,17.85
1992-08-17,0.39,0.39,0.38,0.39,0.31,2.68
1992-08-18,0.38,0.39,0.38,0.39,0.31,2.86
1992-08-19,0.38,0.39,0.38,0.39,0.31,2.38
1992-08-20,0.39,0.40,0.38,0.39,0.30,2.49
1992-08-21,0.39,0.39,0.38,0.38,0.30,2.05
1992-08-24,0.38,0.39,0.38,0.38,0.30,6.91
1992-08-25,0.38,0.38,0.38,0.38,0.30,4.13
1992-08-26,0.38,0.38,0.36,0.38,0.29,19.39
1992-08-27,0.38,0.39,0.38,0.38,0.30,6.17
1992-08-28,0.38,0.39,0.38,0.39,0.31,3.42
1992-08-31,0.39,0.39,0.38,0.39,0.31,4.44
1992-09-01,0.39,0.40,0.39,0.39,0.31,2.39
1992-09-02,0.40,0.43,0.39,0.43,0.34,11.69
1992-09-03,0.43,0.45,0.43,0.45,0.35,16.48
1992-09-04,0.45,0.45,0.44,0.45,0.35,4.25
1992-09-08,0.45,0.50,0.45,0.49,0.38,17.14
1992-09-09,0.46,0.49,0.45,0.48,0.38,25.30
1992-09-10,0.47,0.48,0.46,0.48,0.37,8.89
1992-09-11,0.47,0.50,0.47,0.49,0.38,13.04
1992-09-14,0.50,0.52,0.49,0.51,0.40,13.07
1992-09-15,0.50,0.51,0.48,0.48,0.38,18.10
1992-09-16,0.46,0.48,0.46,0.46,0.37,14.96
1992-09-17,0.47,0.47,0.44,0.45,0.35,13.46
1992-09-18,0.44,0.45,0.42,0.43,0.33,17.26
1992-09-21,0.43,0.47,0.42,0.46,0.36,24.01
1992-09-22,0.46,0.48,0.45,0.48,0.38,19.21
1992-09-23,0.48,0.48,0.46,0.48,0.37,26.91
1992-09-24,0.48,0.48,0.47,0.48,0.38,5.46
1992-09-25,0.48,0.49,0.47,0.48,0.37,12.10
1992-09-28,0.48,0.50,0.48,0.50,0.39,7.53
1992-09-29,0.50,0.50,0.48,0.48,0.38,9.59
1992-09-30,0.48,0.49,0.47,0.47,0.37,11.12
1992-10-01,0.48,0.48,0.46,0.46,0.36,4.56
1992-10-02,0.46,0.46,0.44,0.45,0.35,5.93
1992-10-05,0.43,0.45,0.42,0.45,0.36,12.76
1992-10-06,0.46,0.46,0.45,0.46,0.36,6.02
1992-10-07,0.46,0.46,0.45,0.45,0.35,3.69
1992-10-08,0.45,0.46,0.45,0.46,0.36,2.47
1992-10-09,0.46,0.46,0.45,0.45,0.35,2.43
1992-10-12,0.45,0.46,0.45,0.46,0.37,4.13
1992-10-13,0.46,0.47,0.46,0.47,0.37,4.39
1992-10-14,0.47,0.48,0.46,0.46,0.37,4.74
1992-10-15,0.46,0.47,0.45,0.47,0.37,2.95
1992-10-16,0.47,0.49,0.46,0.48,0.38,8.77
1992-10-19,0.49,0.51,0.48,0.51,0.40,14.75
1992-10-20,0.51,0.52,0.50,0.50,0.39,8.03
1992-10-21,0.50,0.50,0.49,0.49,0.39,3.37
1992-10-22,0.50,0.50,0.49,0.50,0.40,5.77
1992-10-23,0.50,0.51,0.50,0.50,0.39,5.79
1992-10-26,0.51,0.51,0.49,0.50,0.39,7.44
1992-10-27,0.50,0.50,0.45,0.46,0.36,19.46
1992-10-28,0.46,0.46,0.44,0.44,0.35,22.24
1992-10-29,0.45,0.47,0.45,0.47,0.37,21.28
1992-10-30,0.47,0.47,0.46,0.46,0.36,5.12
1992-11-02,0.46,0.47,0.45,0.45,0.35,18.60
1992-11-03,0.45,0.46,0.44,0.46,0.36,5.95
1992-11-04,0.46,0.46,0.45,0.46,0.36,3.70
1992-11-05,0.45,0.46,0.45,0.46,0.37,17.50
1992-11-06,0.47,0.50,0.46,0.50,0.39,25.06
1992-11-09,0.50,0.51,0.49,0.50,0.39,13.02
1992-11-10,0.50,0.50,0.48,0.49,0.38,4.87
1992-11-11,0.49,0.50,0.48,0.50,0.39,4.23
1992-11-12,0.50,0.50,0.48,0.48,0.38,12.52
1992-11-13,0.49,0.50,0.48,0.50,0.39,11.52
1992-11-16,0.50,0.51,0.50,0.50,0.40,12.58
1992-11-17,0.51,0.51,0.50,0.51,0.40,8.26
1992-11-18,0.50,0.54,0.50,0.53,0.42,25.28
1992-11-19,0.53,0.56,0.53,0.56,0.44,19.28
1992-11-20,0.56,0.59,0.55,0.56,0.44,46.13
1992-11-23,0.56,0.57,0.54,0.56,0.44,16.62
1992-11-24,0.56,0.57,0.55,0.56,0.44,6.07
1992-11-25,0.57,0.58,0.56,0.58,0.45,8.05
1992-11-27,0.58,0.58,0.57,0.57,0.45,2.46
1992-11-30,0.58,0.59,0.57,0.59,0.46,9.47
1992-12-01,0.59,0.59,0.57,0.58,0.45,9.17
1992-12-02,0.57,0.57,0.53,0.56,0.44,44.78
1992-12-03,0.56,0.56,0.53,0.55,0.43,28.01
1992-12-04,0.54,0.55,0.53,0.55,0.43,24.36
1992-12-07,0.55,0.55,0.54,0.54,0.42,34.52
1992-12-08,0.54,0.54,0.53,0.54,0.42,16.45
1992-12-09,0.53,0.54,0.52,0.53,0.41,7.72
1992-12-10,0.52,0.55,0.52,0.55,0.43,14.26
1992-12-11,0.55,0.55,0.54,0.54,0.43,5.73
1992-12-14,0.55,0.55,0.53,0.54,0.42,7.12
1992-12-15,0.54,0.55,0.53,0.55,0.43,6.87
1992-12-16,0.55,0.57,0.54,0.56,0.44,17.53
1992-12-17,0.57,0.58,0.56,0.58,0.45,14.99
1992-12-18,0.58,0.58,0.57,0.57,0.45,4.47
1992-12-21,0.57,0.58,0.56,0.58,0.46,3.05
1992-12-22,0.58,0.58,0.57,0.57,0.45,4.44
1992-12-23,0.57,0.57,0.55,0.55,0.44,7.81
1992-12-24,0.55,0.55,0.54,0.55,0.43,5.42
1992-12-28,0.55,0.55,0.53,0.54,0.43,3.70
1992-12-29,0.54,0.56,0.54,0.56,0.44,13.77
1992-12-30,0.56,0.57,0.55,0.56,0.44,8.99
1992-12-31,0.57,0.58,0.56,0.58,0.45,5.84
1993-01-04,0.58,0.59,0.57,0.58,0.46,13.38
1993-01-05,0.58,0.60,0.57,0.59,0.47,14.24
1993-01-06,0.60,0.61,0.59,0.60,0.47,18.33
1993-01-07,0.60,0.64,0.60,0.62,0.49,33.41
1993-01-08,0.62,0.63,0.60,0.61,0.48,24.04
1993-01-11,0.61,0.62,0.59,0.60,0.47,15.71
1993-01-12,0.61,0.61,0.59,0.60,0.47,6.22
1993-01-13,0.60,0.61,0.59,0.59,0.47,14.29
1993-01-14,0.59,0.64,0.59,0.64,0.50,19.07
1993-01-15,0.64,0.66,0.63,0.63,0.49,32.75
1993-01-18,0.63,0.64,0.62,0.64,0.50,10.52
1993-01-19,0.64,0.64,0.61,0.62,0.49,11.15
1993-01-20,0.62,0.62,0.61,0.61,0.48,7.32
1993-01-21,0.61,0.61,0.59,0.59,0.47,15.05
1993-01-22,0.60,0.61,0.59,0.61,0.48,9.20
1993-01-25,0.61,0.62,0.60,0.61,0.48,13.23
1993-01-26,0.61,0.61,0.61,0.61,0.48,10.80
1993-01-27,0.61,0.61,0.58,0.60,0.47,10.06
1993-01-28,0.60,0.60,0.59,0.59,0.46,3.47
1993-01-29,0.59,0.61,0.59,0.60,0.47,2.85
1993-02-01,0.60,0.60,0.59,0.59,0.46,7.97
1993-02-02,0.59,0.61,0.59,0.60,0.47,17.09
1993-02-03,0.61,0.61,0.60,0.60,0.47,6.10
1993-02-04,0.60,0.63,0.60,0.63,0.49,10.61
1993-02-05,0.63,0.63,0.60,0.60,0.47,8.74
1993-02-08,0.60,0.61,0.59,0.59,0.47,6.20
1993-02-09,0.60,0.60,0.56,0.57,0.45,16.41
1993-02-10,0.57,0.58,0.54,0.55,0.44,11.84
1993-02-11,0.55,0.57,0.55,0.56,0.44,4.61
1993-02-12,0.56,0.57,0.55,0.56,0.44,3.77
1993-02-16,0.54,0.55,0.53,0.54,0.43,21.04
1993-02-17,0.54,0.55,0.52,0.53,0.42,25.72
1993-02-18,0.54,0.54,0.53,0.54,0.42,11.22
1993-02-19,0.54,0.55,0.53,0.53,0.42,9.80
1993-02-22,0.53,0.54,0.52,0.53,0.42,5.18
1993-02-23,0.53,0.53,0.50,0.52,0.41,20.09
1993-02-24,0.51,0.53,0.50,0.53,0.41,16.67
1993-02-25,0.53,0.56,0.52,0.56,0.44,10.34
