Date,Current_Close,SMA_7,SMA_30,SMA_50
1992-07-01,0.36,0.36,0.36,0.36
1992-07-02,0.36,0.36,0.36,0.36
1992-07-06,0.36,0.36,0.36,0.36
1992-07-07,0.36,0.36,0.36,0.36
1992-07-08,0.35,0.36,0.36,0.36
1992-07-09,0.36,0.36,0.36,0.36
1992-07-10,0.36,0.36,0.36,0.36
1992-07-13,0.37,0.36,0.36,0.36
1992-07-14,0.37,0.36,0.36,0.36
1992-07-15,0.38,0.37,0.36,0.36
1992-07-16,0.41,0.38,0.37,0.37
1992-07-17,0.43,0.39,0.37,0.37
1992-07-20,0.43,0.40,0.38,0.38
1992-07-21,0.44,0.42,0.38,0.38
1992-07-22,0.43,0.43,0.38,0.38
1992-07-23,0.44,0.43,0.39,0.39
1992-07-24,0.45,0.44,0.39,0.39
1992-07-27,0.46,0.44,0.40,0.40
1992-07-28,0.44,0.44,0.40,0.40
1992-07-29,0.42,0.44,0.40,0.40
1992-07-30,0.41,0.44,0.40,0.40
1992-07-31,0.42,0.43,0.40,0.40
1992-08-03,0.42,0.42,0.41,0.40
1992-08-04,0.43,0.42,0.41,0.40
1992-08-05,0.41,0.42,0.41,0.40
1992-08-06,0.41,0.42,0.41,0.40
1992-08-07,0.43,0.42,0.41,0.40
1992-08-10,0.43,0.42,0.42,0.41
1992-08-11,0.43,0.42,0.42,0.41
1992-08-12,0.41,0.42,0.42,0.41
1992-08-13,0.41,0.42,0.42,0.41
1992-08-14,0.39,0.41,0.43,0.41
1992-08-17,0.39,0.41,0.42,0.41
1992-08-18,0.39,0.40,0.42,0.40
1992-08-19,0.39,0.39,0.42,0.40
1992-08-20,0.39,0.39,0.42,0.41
1992-08-21,0.38,0.39,0.42,0.41
1992-08-24,0.38,0.39,0.41,0.41
1992-08-25,0.38,0.38,0.41,0.41
1992-08-26,0.38,0.38,0.41,0.41
1992-08-27,0.38,0.38,0.40,0.41
1992-08-28,0.39,0.38,0.40,0.41
1992-08-31,0.39,0.38,0.40,0.41
1992-09-01,0.39,0.39,0.40,0.41
1992-09-02,0.43,0.40,0.40,0.41
1992-09-03,0.45,0.41,0.40,0.41
1992-09-04,0.45,0.42,0.40,0.41
1992-09-08,0.49,0.46,0.41,0.42
1992-09-09,0.48,0.47,0.41,0.42
1992-09-10,0.48,0.48,0.41,0.42
1992-09-11,0.49,0.49,0.41,0.42
1992-09-14,0.51,0.49,0.42,0.42
1992-09-15,0.48,0.49,0.42,0.42
1992-09-16,0.46,0.48,0.43,0.42
1992-09-17,0.45,0.48,0.43,0.42
1992-09-18,0.43,0.47,0.43,0.42
1992-09-21,0.46,0.46,0.44,0.42
1992-09-22,0.48,0.46,0.44,0.43
1992-09-23,0.48,0.46,0.44,0.43
1992-09-24,0.48,0.47,0.45,0.43
1992-09-25,0.48,0.48,0.45,0.43
1992-09-28,0.50,0.48,0.46,0.43
1992-09-29,0.48,0.48,0.46,0.44
1992-09-30,0.47,0.48,0.47,0.44
1992-10-01,0.46,0.48,0.47,0.44
1992-10-02,0.45,0.47,0.47,0.44
1992-10-05,0.45,0.46,0.47,0.44
1992-10-06,0.46,0.46,0.47,0.44
1992-10-07,0.45,0.45,0.47,0.44
1992-10-08,0.46,0.45,0.47,0.45
1992-10-09,0.45,0.45,0.47,0.45
1992-10-12,0.46,0.46,0.47,0.45
1992-10-13,0.47,0.46,0.47,0.45
1992-10-14,0.46,0.46,0.46,0.46
1992-10-15,0.47,0.46,0.46,0.46
1992-10-16,0.48,0.47,0.47,0.46
1992-10-19,0.51,0.48,0.47,0.46
1992-10-20,0.50,0.48,0.47,0.47
1992-10-21,0.49,0.49,0.47,0.47
1992-10-22,0.50,0.50,0.47,0.47
1992-10-23,0.50,0.50,0.47,0.47
1992-10-26,0.50,0.50,0.47,0.47
1992-10-27,0.46,0.49,0.47,0.47
1992-10-28,0.44,0.48,0.47,0.47
1992-10-29,0.47,0.47,0.47,0.47
1992-10-30,0.46,0.47,0.47,0.47
1992-11-02,0.45,0.46,0.47,0.47
1992-11-03,0.46,0.46,0.47,0.47
1992-11-04,0.46,0.46,0.47,0.47
1992-11-05,0.46,0.46,0.47,0.47
1992-11-06,0.50,0.47,0.47,0.47
1992-11-09,0.50,0.48,0.48,0.47
1992-11-10,0.49,0.48,0.48,0.47
1992-11-11,0.50,0.49,0.48,0.47
1992-11-12,0.48,0.49,0.48,0.47
1992-11-13,0.50,0.49,0.48,0.47
1992-11-16,0.50,0.49,0.48,0.48
1992-11-17,0.51,0.50,0.48,0.48
1992-11-18,0.53,0.50,0.48,0.48
1992-11-19,0.56,0.52,0.49,0.48
1992-11-20,0.56,0.53,0.49,0.48
1992-11-23,0.56,0.54,0.49,0.49
1992-11-24,0.56,0.55,0.50,0.49
1992-11-25,0.58,0.56,0.50,0.49
1992-11-27,0.57,0.57,0.51,0.50
1992-11-30,0.59,0.58,0.52,0.50
1992-12-01,0.58,0.58,0.52,0.50
1992-12-02,0.56,0.58,0.52,0.51
1992-12-03,0.55,0.57,0.53,0.51
1992-12-04,0.55,0.57,0.53,0.51
1992-12-07,0.54,0.56,0.54,0.51
1992-12-08,0.54,0.55,0.54,0.51
1992-12-09,0.53,0.54,0.54,0.51
1992-12-10,0.55,0.54,0.54,0.52
1992-12-11,0.54,0.54,0.54,0.52
1992-12-14,0.54,0.54,0.55,0.52
1992-12-15,0.55,0.54,0.55,0.52
1992-12-16,0.56,0.55,0.55,0.52
1992-12-17,0.58,0.55,0.56,0.53
1992-12-18,0.57,0.56,0.56,0.53
1992-12-21,0.58,0.57,0.56,0.53
1992-12-22,0.57,0.57,0.56,0.54
1992-12-23,0.55,0.57,0.56,0.54
1992-12-24,0.55,0.56,0.56,0.54
1992-12-28,0.54,0.55,0.56,0.54
1992-12-29,0.56,0.55,0.56,0.55
1992-12-30,0.56,0.55,0.55,0.55
1992-12-31,0.58,0.56,0.55,0.55
1993-01-04,0.58,0.57,0.56,0.56
1993-01-05,0.59,0.58,0.56,0.56
1993-01-06,0.60,0.59,0.56,0.56
1993-01-07,0.62,0.60,0.57,0.56
1993-01-08,0.61,0.60,0.57,0.57
1993-01-11,0.60,0.60,0.57,0.57
1993-01-12,0.60,0.61,0.57,0.57
1993-01-13,0.59,0.60,0.58,0.57
1993-01-14,0.64,0.61,0.58,0.57
1993-01-15,0.63,0.61,0.59,0.57
1993-01-18,0.64,0.62,0.59,0.57
1993-01-19,0.62,0.62,0.59,0.58
1993-01-20,0.61,0.63,0.59,0.58
1993-01-21,0.59,0.62,0.59,0.58
1993-01-22,0.61,0.61,0.60,0.58
1993-01-25,0.61,0.61,0.60,0.58
1993-01-26,0.61,0.61,0.60,0.58
1993-01-27,0.60,0.60,0.60,0.58
1993-01-28,0.59,0.60,0.60,0.59
1993-01-29,0.60,0.60,0.61,0.59
1993-02-01,0.59,0.60,0.61,0.59
1993-02-02,0.60,0.60,0.61,0.59
1993-02-03,0.60,0.60,0.61,0.59
1993-02-04,0.63,0.60,0.61,0.59
1993-02-05,0.60,0.60,0.61,0.59
1993-02-08,0.59,0.60,0.61,0.60
1993-02-09,0.57,0.60,0.61,0.60
1993-02-10,0.55,0.59,0.60,0.59
1993-02-11,0.56,0.57,0.60,0.59
1993-02-12,0.56,0.57,0.60,0.60
1993-02-16,0.54,0.55,0.59,0.60
1993-02-17,0.53,0.55,0.59,0.59
1993-02-18,0.54,0.54,0.58,0.59
1993-02-19,0.53,0.54,0.58,0.59
1993-02-22,0.53,0.53,0.58,0.59
1993-02-23,0.52,0.53,0.57,0.59
1993-02-24,0.53,0.53,0.57,0.59
1993-02-25,0.56,0.53,0.57,0.59
1993-02-26,0.57,0.54,0.57,0.58
1993-03-01,0.55,0.55,0.56,0.58
